c_0,seller_1_utility,seller_2_utility,seller_3_utility
2,1587.6062110922096,1234.8048308494963,599.3123911642956
4,1407.248945014374,1231.3428268875773,597.4835833810694
6,1236.7924990702031,1236.7924990702031,600.282792892977
8,1060.8080941322462,1237.609443154287,600.6405023945127
10,909.4293146854732,1338.23405433316,649.4075062301544
12,787.3718769883507,1336.8012298861222,648.8096515958413
14,708.5964347096736,1460.1147253478425,708.5964347096736
16,634.1967165567698,1457.4640171106869,707.3732607748587
18,562.1233857853922,1460.274996181078,708.7642690337557
